rank,candidate_id,search_ranking_score,retrieval_score,evaluation_score,recommendation_score,vector_search_score,behavioral_score,trust_score,trust_penalty,calibration_penalty,final_score,score_cap,reasoning,current_title,current_company,years_of_experience,skill_count,ai_skill_count,relevant_role_count,relevant_duration_months,max_evidence_level,level4_5_count,search_ranking_evidence_count,retrieval_evidence_count,evaluation_evidence_count,recommendation_evidence_count,vector_search_evidence_count,ownership_term_count,scale_term_count,template_repetition,keyword_stuffer,ai_transition,consulting_only,trust_points,trust_reason_codes,consistency_points,consistency_reason_codes
11,CAND_0053695,0.816935,0.768135,0.728375,0.717666,0.724845,0.8555,0.857143,0.05,0.0,0.724111,,"Evidence: Search ranking L5 via `ranking model` at Meesho / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Retrieval L4 via `retrieval` at Niramai / Applied ML Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Evaluation L5 via `human judgments` at Genpact AI / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Niramai / Applied ML Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: current_title_description_mismatch, skills_current_role_mismatch",Recommendation Systems Engineer,Meesho,5.8,15,5,3,68.0,5,17,5,7,3,8,10,3,2,False,False,False,False,5.0,current_title_description_mismatch; skills_current_role_mismatch,5.0,current_title_description_mismatch; skills_current_role_mismatch
12,CAND_0086022,0.847283,0.868646,0.958164,0.023768,0.932064,0.847951,0.828571,0.06,0.0,0.719315,,"Evidence: Evaluation L5 via `ndcg` at Sarvam AI / Senior Applied Scientist: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Vector search L5 via `embeddings` at Sarvam AI / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Retrieval L5 via `retrieval` at Sarvam AI / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Search ranking L5 via `learning-to-rank` at Sarvam AI / Senior Applied Scientist: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Concerns: trust flags: current_title_description_mismatch, skills_career_history_mismatch, skills_current_role_mismatch",Senior Applied Scientist,Sarvam AI,5.3,19,8,2,63.0,5,23,6,8,8,2,14,6,7,False,False,False,False,6.0,current_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
13,CAND_0094759,0.915942,0.935678,0.976278,0.132221,0.953716,0.569577,0.714286,0.1,0.0,0.715694,0.92,"Evidence: Evaluation L5 via `a/b testing` at Meta / Lead AI Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. | Vector search L5 via `embedding` at Meta / Lead AI Engineer: Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Retrieval L5 via `index versioning` at Meta / Lead AI Engineer: Most of the engineering effort went into the boring infrastructure: index versioning, embedding versioning, rollback paths, and the dashboards that let recruiters trust the new system. | Search ranking L5 via `ranker` at Meta / Lead AI Engineer: Designed three successive ranker variants and ran them in A/B testing alongside the legacy keyword system. Concerns: template-like repeated career descriptions; trust flags: previous_title_description_mismatch, template_repetition; score capped at 0.92",Lead AI Engineer,Meta,8.6,16,4,3,101.0,5,28,10,10,10,1,12,6,7,True,False,False,False,10.0,previous_title_description_mismatch; template_repetition,2.0,previous_title_description_mismatch
14,CAND_0041611,0.8504,0.969325,0.97923,0.0,0.97984,0.497191,0.8,0.07,0.0,0.71323,,"Evidence: Vector search L5 via `embeddings` at Locobuzz / Staff Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Evaluation L5 via `ndcg` at Locobuzz / Staff Machine Learning Engineer: Designed the offline evaluation framework from scratch  NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Retrieval L5 via `retrieval` at Locobuzz / Staff Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. | Search ranking L5 via `learning-to-rank` at Locobuzz / Staff Machine Learning Engineer: The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Concerns: trust flags: previous_title_description_mismatch, signup_after_last_active",Staff Machine Learning Engineer,Locobuzz,6.4,18,7,3,75.0,5,31,7,13,11,0,14,8,10,False,False,False,False,7.0,previous_title_description_mismatch; signup_after_last_active,7.0,previous_title_description_mismatch; signup_after_last_active
15,CAND_0077337,0.786821,0.962725,0.762175,0.613772,0.953716,0.893861,0.685714,0.11,0.0,0.711252,0.92,"Evidence: Retrieval L5 via `retrieval` at Razorpay / Senior NLP Engineer: Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). | Vector search L5 via `embeddings` at Paytm / Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. | Search ranking L5 via `ranking layer` at Paytm / Staff Machine Learning Engineer: The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. | Evaluation L5 via `ndcg` at Razorpay / Senior NLP Engineer: The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Concerns: template-like repeated career descriptions; trust flags: skills_current_role_mismatch, skills_headline_mismatch, template_repetition; score capped at 0.92",Staff Machine Learning Engineer,Paytm,7.0,20,2,4,83.0,5,24,6,15,4,4,12,8,10,True,False,False,False,11.0,skills_current_role_mismatch; skills_headline_mismatch; template_repetition,3.0,skills_current_role_mismatch; skills_headline_mismatch
16,CAND_0091534,0.739134,0.71154,0.831568,0.268996,0.813643,0.9224,1.0,0.0,0.0,0.711053,,"Evidence: Evaluation L5 via `human judgments` at Flipkart / AI Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Adobe / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Flipkart / AI Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Adobe / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval.",AI Engineer,Flipkart,16.6,10,2,3,85.0,5,18,4,5,5,4,9,3,1,False,False,False,False,0.0,,0.0,
17,CAND_0018722,0.911688,0.717475,0.935401,0.666481,0.675786,0.860622,0.485714,0.12,0.0,0.701775,0.82,"Evidence: Evaluation L5 via `human judgments` at Unacademy / Machine Learning Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Search ranking L5 via `learning-to-rank` at Unacademy / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Saarthi.ai / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Vector search L4 via `faiss` at Saarthi.ai / Recommendation Systems Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: template-like repeated career descriptions; long notice period (90 days); trust flags: current_title_description_mismatch, current_title_evidence_mismatch, skills_current_role_mismatch; score capped at 0.82",Recommendation Systems Engineer,Saarthi.ai,6.6,14,1,3,78.0,5,22,8,6,7,8,5,2,1,True,False,False,False,18.0,current_title_description_mismatch; current_title_evidence_mismatch; skills_current_role_mismatch; skills_headline_mismatch; template_repetition,6.0,current_title_description_mismatch; skills_current_role_mismatch; skills_headline_mismatch
18,CAND_0010685,0.816935,0.754711,0.728375,0.24696,0.711835,0.9544,0.942857,0.02,0.0,0.700551,,"Evidence: Search ranking L5 via `learning-to-rank` at Rephrase.ai / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Mad Street Den / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Evaluation L5 via `human judgments` at Rephrase.ai / NLP Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Vector search L4 via `faiss` at Mad Street Den / Machine Learning Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: previous_title_description_mismatch",NLP Engineer,Rephrase.ai,6.7,16,4,3,51.0,5,15,5,8,3,2,5,5,3,False,False,False,False,2.0,previous_title_description_mismatch,2.0,previous_title_description_mismatch
19,CAND_0010770,0.865396,0.899184,0.728375,0.641982,0.864459,0.812971,0.571429,0.12,0.0,0.697958,0.9,"Evidence: Retrieval L4 via `retrieval` at Verloop.io / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `ranking model` at Aganitha / Recommendation Systems Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Vector search L4 via `faiss` at Verloop.io / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Evaluation L5 via `human judgments` at Observe.AI / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Concerns: template-like repeated career descriptions; trust flags: current_title_description_mismatch, moderate_career_incoherence, skills_current_role_mismatch; score capped at 0.90",Recommendation Systems Engineer,Aganitha,15.2,18,5,4,86.0,5,25,7,9,3,6,8,3,2,True,False,False,False,15.0,current_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch; template_repetition,7.0,current_title_description_mismatch; moderate_career_incoherence; skills_current_role_mismatch
20,CAND_0076904,0.74446,0.759758,0.762175,0.264857,0.717111,0.7746,1.0,0.0,0.0,0.69381,,"Evidence: Evaluation L5 via `human judgments` at Nykaa / Senior Data Scientist: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at Mad Street Den / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Nykaa / Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Vector search L4 via `faiss` at Mad Street Den / AI Engineer: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: long notice period (90 days)",Senior Data Scientist,Nykaa,4.2,18,5,2,49.0,5,14,5,9,4,4,7,2,1,False,False,False,False,0.0,,0.0,
21,CAND_0081686,0.739134,0.686658,0.824089,0.823394,0.844027,0.9132,0.771429,0.08,0.0,0.691995,,"Evidence: Vector search L5 via `embeddings` at Zoho / AI Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Evaluation L5 via `human judgments` at Netflix / Search Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Recommendation/matching L5 via `recommendation system` at Zoho / AI Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. | Search ranking L5 via `learning-to-rank` at Netflix / Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concerns: trust flags: current_title_description_mismatch, previous_title_description_mismatch, skills_career_history_mismatch",Search Engineer,Netflix,6.0,18,3,3,71.0,5,21,4,5,4,6,9,3,5,False,False,False,False,8.0,current_title_description_mismatch; previous_title_description_mismatch; skills_career_history_mismatch; skills_current_role_mismatch,8.0,current_title_description_mismatch; previous_title_description_mismatch; skills_current_role_mismatch; skills_career_history_mismatch
22,CAND_0057563,0.739134,0.780086,0.824089,0.702074,0.874485,0.845748,0.742857,0.09,0.0,0.686335,,"Evidence: Vector search L5 via `embeddings` at Yellow.ai / Machine Learning Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Evaluation L5 via `human judgments` at Locobuzz / NLP Engineer: Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. | Retrieval L4 via `retrieval` at Zoho / Senior Data Scientist: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. | Search ranking L5 via `learning-to-rank` at Locobuzz / NLP Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concerns: trust flags: degree_order_reversal, graduation_after_employment_start, previous_title_description_mismatch",NLP Engineer,Locobuzz,6.8,14,3,3,80.0,5,19,4,9,4,4,7,3,5,False,False,False,False,9.0,degree_order_reversal; graduation_after_employment_start; previous_title_description_mismatch,9.0,previous_title_description_mismatch; degree_order_reversal; graduation_after_employment_start
23,CAND_0055992,0.74446,0.732038,0.890919,0.702074,0.920316,0.8966,0.714286,0.1,0.0,0.685839,,"Evidence: Vector search L5 via `embeddings` at Observe.AI / AI Engineer: The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. | Evaluation L5 via `a/b testing` at Observe.AI / AI Engineer: Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. | Search ranking L5 via `learning-to-rank` at Ola / Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval L4 via `retrieval` at Aganitha / Senior Data Scientist: Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Concerns: trust flags: degree_order_reversal, graduation_after_employment_start, previous_title_description_mismatch",AI Engineer,CRED,16.9,16,5,4,80.0,5,23,5,8,6,4,13,3,5,False,False,False,False,10.0,degree_order_reversal; graduation_after_employment_start; previous_title_description_mismatch; skills_headline_mismatch,10.0,previous_title_description_mismatch; degree_order_reversal; graduation_after_employment_start; skills_headline_mismatch
