candidate_id,current_rank,current_title,years_experience,candidate_family,interview_decision,confidence,strongest_evidence,biggest_concern,suggested_rank_band,ranker_judgment,reasoning
CAND_0044855,11,Senior Data Scientist,6.6,Retrieval Engineer,YES,HIGH,Retrieval/search infra: Verloop.io Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: LinkedIn Recommendation Systems Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking.,No major concern beyond normal verification of synthetic profile evidence.,Top 50,Slightly High,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Verloop.io Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: LinkedIn Recommendation Systems Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0069905,12,Applied ML Engineer,6.6,Applied ML Engineer,MAYBE,MEDIUM,"Ranking/relevance: Sarvam AI Applied ML Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Sarvam AI Applied ML Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents.","Profile consistency concern: previous_title_description_mismatch,  skills_headline_mismatch",Top 100,Much Too High,"Committee classifies this as Applied ML Engineer. Ranking/relevance: Sarvam AI Applied ML Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Sarvam AI Applied ML Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Profile consistency concern: previous_title_description_mismatch, skills_headline_mismatch Decision is MAYBE and suggested band is Top 100 because role-level evidence, not rank position, drives the judgment."
CAND_0039383,13,Applied ML Engineer,7.1,Retrieval Engineer,MAYBE,MEDIUM,Retrieval/search infra: Swiggy Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Meesho Applied ML Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM.,Repeated/template-like role descriptions across employers; committee discounts confidence.,Top 50,Slightly High,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Swiggy Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Meesho Applied ML Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Concern: Repeated/template-like role descriptions across employers; committee discounts confidence. Decision is MAYBE and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0005260,14,Senior NLP Engineer,5.2,Search Ranking Engineer,YES,HIGH,Ranking/relevance: Netflix Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Yellow.ai Senior NLP Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.,No major concern beyond normal verification of synthetic profile evidence.,Top 10,Slightly Low,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Netflix Senior NLP Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Yellow.ai Senior NLP Engineer: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0093912,15,Senior Data Scientist,5.3,Search Ranking Engineer,MAYBE,MEDIUM,"Ranking/relevance: Razorpay Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Razorpay Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.","Profile consistency concern: previous_title_description_mismatch,  moderate_career_incoherence,  skills_current_role_mismatch,  skills_career_history_mismatch",Top 50,Slightly High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Razorpay Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Razorpay Senior Data Scientist: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: Profile consistency concern: previous_title_description_mismatch, moderate_career_incoherence, skills_current_role_mismatch, skills_career_history_mismatch Decision is MAYBE and suggested band is Top 50 because role-level evidenc..."
CAND_0079387,16,AI Engineer,6.9,Retrieval Engineer,YES,HIGH,Retrieval/search infra: BYJU'S AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Microsoft AI Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking.,"Profile consistency concern: skills_current_role_mismatch,  skills_headline_mismatch",Top 50,Slightly High,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: BYJU'S AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Microsoft AI Engineer: Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0008425,17,Senior NLP Engineer,7.8,Search Ranking Engineer,YES,HIGH,Ranking/relevance: Zomato Senior ML Engineer - Search & Ranking: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Ola Senior NLP Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items.,"Profile consistency concern: skills_current_role_mismatch,  skills_headline_mismatch",Top 25,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Zomato Senior ML Engineer - Search & Ranking: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Ola Senior NLP Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 25 because role-level evidence, not rank position, drives the judgment."
CAND_0055992,18,AI Engineer,16.9,Search Ranking Engineer,MAYBE,MEDIUM,"Ranking/relevance: Aganitha Senior Data Scientist: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Aganitha Senior Data Scientist: Developed a semantic search feature for an internal knowledge base of ~500K documents.","Profile consistency concern: previous_title_description_mismatch,  degree_order_reversal,  graduation_after_employment_start,  skills_headline_mismatch",Top 50,Slightly High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Aganitha Senior Data Scientist: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Aganitha Senior Data Scientist: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Profile consistency concern: previous_title_description_mismatch, degree_order_reversal, graduation_after_employment_start, skills_headline_mismatch Decision is MAYBE and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0001610,19,Machine Learning Engineer,3.0,Retrieval Engineer,YES,HIGH,"Retrieval/search infra: Dream11 Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Dream11 Machine Learning Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.",No major concern beyond normal verification of synthetic profile evidence.,Top 25,Correct,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Dream11 Machine Learning Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Dream11 Machine Learning Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 25 because role-level evidence, not rank position, drives the judgment."
CAND_0093547,20,Senior Machine Learning Engineer,2.9,Recommendation Engineer,YES,MEDIUM,Recommendation/matching: PhonePe Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... | Ranking/relevance: PhonePe Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon...,Profile consistency concern: graduation_after_employment_start,Top 50,Slightly High,"Committee classifies this as Recommendation Engineer. Recommendation/matching: PhonePe Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... | Ranking/relevance: PhonePe Senior Machine Learning Engineer: Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing -> embedding generation (using a fine-tuned BGE-large) -> Pinecon... Concern: Profile consistency concern: graduation_after_employment_start Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives..."
CAND_0055905,21,Senior Machine Learning Engineer,8.1,Search Ranking Engineer,YES,MEDIUM,Ranking/relevance: Uber Senior AI Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Flipkart Senior Machine Learning Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items.,"Profile consistency concern: previous_title_description_mismatch,  degree_order_reversal,  skills_current_role_mismatch,  skills_headline_mismatch",Top 10,Slightly Low,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Uber Senior AI Engineer: Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. | Retrieval/search infra: Flipkart Senior Machine Learning Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Concern: Profile consistency concern: previous_title_description_mismatch, degree_order_reversal, skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0081686,22,Search Engineer,6.0,Search Ranking Engineer,MAYBE,MEDIUM,"Ranking/relevance: Netflix Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Netflix Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.","Profile consistency concern: current_title_description_mismatch,  previous_title_description_mismatch,  skills_current_role_mismatch,  skills_career_history_mismatch",Top 50,Slightly High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Netflix Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Netflix Search Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: Profile consistency concern: current_title_description_mismatch, previous_title_description_mismatch, skills_current_role_mismatch, skills_career_history_mismatch Decision is MAYBE and suggested band is Top 50 because role-level evidence, not..."
CAND_0030953,23,Search Engineer,7.8,Search Ranking Engineer,YES,MEDIUM,Ranking/relevance: Nykaa Search Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Retrieval/search infra: Vedantu Applied ML Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents.,"Profile consistency concern: current_title_description_mismatch,  skills_current_role_mismatch",Top 50,Slightly High,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Nykaa Search Engineer: Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. | Retrieval/search infra: Vedantu Applied ML Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Profile consistency concern: current_title_description_mismatch, skills_current_role_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0086022,24,Senior Applied Scientist,5.3,Evaluation/Relevance Engineer,YES,MEDIUM,"Evaluation: Sarvam AI Senior Applied Scientist: Designed the offline evaluation framework from scratch - NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Ranking/relevance: Sarvam AI Senior Applied Scientist: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product.","Profile consistency concern: current_title_description_mismatch,  skills_current_role_mismatch,  skills_career_history_mismatch",Top 10,Slightly Low,"Committee classifies this as Evaluation/Relevance Engineer. Evaluation: Sarvam AI Senior Applied Scientist: Designed the offline evaluation framework from scratch - NDCG, MRR, recall@K calibrated against online A/B engagement metrics. | Ranking/relevance: Sarvam AI Senior Applied Scientist: Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. Concern: Profile consistency concern: current_title_description_mismatch, skills_current_role_mismatch, skills_career_history_mismatch Decision is YES and suggested band is Top 10 because role-level evidence, not rank position, drives the judgment."
CAND_0018722,25,Recommendation Systems Engineer,6.6,Recommendation Engineer,YES,MEDIUM,"Ranking/relevance: Saarthi.ai Recommendation Systems Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Saarthi.ai Recommendation Systems Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents.","Profile consistency concern: current_title_description_mismatch,  skills_current_role_mismatch,  skills_headline_mismatch",Top 50,Slightly High,"Committee classifies this as Recommendation Engineer. Ranking/relevance: Saarthi.ai Recommendation Systems Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Saarthi.ai Recommendation Systems Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Profile consistency concern: current_title_description_mismatch, skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0080766,26,Staff Machine Learning Engineer,8.8,Applied ML Engineer,YES,MEDIUM,Ranking/relevance: Salesforce Staff Machine Learning Engineer: Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. | Retrieval/search infra: Haptik Senior Machine Learning Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items.,"Profile consistency concern: graduation_after_employment_start,  skills_current_role_mismatch,  skills_headline_mismatch",Top 50,Correct,"Committee classifies this as Applied ML Engineer. Ranking/relevance: Salesforce Staff Machine Learning Engineer: Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. | Retrieval/search infra: Haptik Senior Machine Learning Engineer: Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Concern: Profile consistency concern: graduation_after_employment_start, skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0062247,27,AI Engineer,7.3,Search Ranking Engineer,YES,HIGH,"Ranking/relevance: Google AI Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Google AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents.","Profile consistency concern: skills_current_role_mismatch,  skills_headline_mismatch",Top 25,Slightly Low,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Google AI Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. | Retrieval/search infra: Google AI Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. Concern: Profile consistency concern: skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 25 because role-level evidence, not rank position, drives the judgment."
CAND_0005649,28,Senior Data Scientist,7.4,Retrieval Engineer,YES,HIGH,"Retrieval/search infra: Sarvam AI Senior Data Scientist: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Sarvam AI Senior Data Scientist: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.",No major concern beyond normal verification of synthetic profile evidence.,Top 25,Slightly Low,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Sarvam AI Senior Data Scientist: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Sarvam AI Senior Data Scientist: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Concern: No major concern beyond normal verification of synthetic profile evidence. Decision is YES and suggested band is Top 25 because role-level evidence, not rank position, drives the judgment."
CAND_0044883,29,AI Engineer,6.3,Retrieval Engineer,YES,HIGH,"Retrieval/search infra: Meesho Recommendation Systems Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Meesho Recommendation Systems Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments.","Profile consistency concern: previous_title_description_mismatch,  previous_title_description_mismatch,  skills_headline_mismatch",Top 50,Correct,"Committee classifies this as Retrieval Engineer. Retrieval/search infra: Meesho Recommendation Systems Engineer: Developed a semantic search feature for an internal knowledge base of ~500K documents. | Ranking/relevance: Meesho Recommendation Systems Engineer: Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, validated through human relevance judgments. Concern: Profile consistency concern: previous_title_description_mismatch, previous_title_description_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the judgment."
CAND_0083307,30,Search Engineer,7.8,Search Ranking Engineer,YES,MEDIUM,"Ranking/relevance: Netflix Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Netflix Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months.","Profile consistency concern: current_title_description_mismatch,  skills_current_role_mismatch,  skills_headline_mismatch",Top 50,Correct,"Committee classifies this as Search Ranking Engineer. Ranking/relevance: Netflix Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. | Retrieval/search infra: Netflix Machine Learning Engineer: Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Concern: Profile consistency concern: current_title_description_mismatch, skills_current_role_mismatch, skills_headline_mismatch Decision is YES and suggested band is Top 50 because role-level evidence, not rank position, drives the..."
